date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:04	145259/145259	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2023:06:11%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
17:31:04	176637/176637	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2023:06:11%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
17:31:04	153377/153377	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2023:06:11%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
17:31:04	820575/820575	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:31:03%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
17:31:04	178520/178520	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2023:06:12%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
17:31:05	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Mar%202023%2007:46:45%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
17:31:05	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2015:26:15%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
17:31:05	5751/5751	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202023%2023:54:42%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
17:31:06	96645/96645	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202023%2023:59:32%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-courses08e8.png	(from https://www.classcentral.com/)
17:31:06	6083/6083	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Mar%202023%2010:11:39%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
